# ra,dec,mag,mag_error
129.987078,18.128305,19.1061,0.002895
130.058596,18.135949,20.0678,0.004635
130.414055,18.182145,16.7983,0.000578
130.432132,18.174878,21.0552,0.018753
130.564057,18.242874,20.7480,0.009031
130.499124,18.229528,18.5960,0.001639
130.513586,18.246230,19.3063,0.002508
130.497017,18.267706,20.9888,0.021605
130.625362,18.295960,19.8395,0.004140
130.569712,18.258368,19.8850,0.003447
130.576327,18.276110,19.5044,0.002949
130.320744,18.176934,19.7357,0.003952
130.345677,18.190023,19.2400,0.002852
130.310626,18.192225,16.2283,0.000423
130.342148,18.210826,18.3585,0.001444
130.318312,18.253647,19.6953,0.003454
130.177384,18.221687,16.6285,0.000639
130.148857,18.262281,19.2700,0.003461
130.221997,18.258267,20.4547,0.008132
130.404664,18.258162,17.9044,0.001139
130.474284,18.271962,20.7059,0.008114
130.465154,18.306864,19.7716,0.003640
130.395136,18.296889,20.1745,0.010681
130.373502,18.285651,21.2415,0.018310
130.535442,18.330388,19.3642,0.002675
130.501358,18.364331,17.0036,0.000595
130.546746,18.415831,18.5756,0.001572
130.326492,18.332987,20.8376,0.013551
130.291559,18.336571,20.3374,0.006595
130.353111,18.395552,20.0858,0.004485
130.312626,18.399380,21.0754,0.028809
130.327991,18.400339,18.6176,0.001784
130.456595,18.413853,16.0093,0.000388
130.509794,18.448543,20.6920,0.007283
130.480159,18.455041,16.7021,0.000532
130.362085,18.428255,14.7315,0.000248
129.700639,18.160311,18.7053,0.002275
129.893398,18.114702,19.3485,0.003114
129.885129,18.182822,19.5779,0.003657
129.914621,18.184591,20.4256,0.007365
130.007930,18.147821,18.4414,0.001636
129.829201,18.154240,20.8834,0.019859
129.815377,18.265798,13.6275,0.000261
129.904407,18.229581,18.1663,0.001535
129.931813,18.254806,19.0395,0.002551
129.922747,18.252545,19.5417,0.003207
129.868502,18.254625,20.0895,0.005250
129.879236,18.284121,18.4072,0.001851
129.929743,18.330399,20.7701,0.012750
129.881468,18.341532,17.3458,0.000946
129.637815,18.202768,21.4444,0.030457
129.675825,18.181044,15.7710,0.000452
129.619904,18.206651,19.2630,0.003110
129.647678,18.266447,15.4553,0.000343
129.477270,18.255280,15.1387,0.000320
129.608425,18.293751,21.1974,0.030497
129.531847,18.278897,19.3138,0.003064
129.502067,18.314775,19.2984,0.003303
129.778976,18.272581,19.8119,0.004363
129.767788,18.269341,19.3801,0.003376
129.703922,18.269843,20.6416,0.010332
129.809762,18.303729,20.7907,0.013484
129.848434,18.320094,20.2291,0.005301
129.867851,18.345232,18.0160,0.001260
129.830625,18.370686,16.2975,0.000543
129.809379,18.364616,20.0866,0.004754
129.803828,18.399427,20.9685,0.018752
129.783247,18.399771,19.8734,0.005056
129.635201,18.333652,20.8818,0.014167
129.628731,18.349638,21.1147,0.021702
129.714298,18.394616,15.8867,0.000376
129.755232,18.432880,18.8518,0.002337
129.718685,18.494275,20.7853,0.015019
130.143759,18.291218,20.6991,0.011808
130.110072,18.318861,17.9687,0.001261
130.187995,18.310095,18.8950,0.002494
130.235183,18.366580,20.0799,0.005592
130.142182,18.359124,17.4970,0.001369
130.189104,18.419998,20.5188,0.007972
129.997201,18.332765,17.6020,0.004477
129.953054,18.382177,20.0157,0.005462
129.957325,18.395582,17.2893,0.000936
129.970305,18.408363,19.8647,0.003964
130.147348,18.432127,16.2474,0.000529
130.016008,18.446671,20.5590,0.008811
130.111767,18.480298,20.4568,0.007637
130.228273,18.414696,20.5414,0.007661
130.263557,18.421984,19.2626,0.002797
130.260138,18.479549,20.7679,0.009541
130.344893,18.473998,17.0038,0.000639
130.359883,18.479823,16.0419,0.000409
130.352390,18.497852,20.8808,0.013787
130.346713,18.514138,20.7012,0.011265
130.370697,18.527961,20.7114,0.010812
130.381487,18.557185,19.9940,0.004581
130.331758,18.525821,20.8613,0.015370
130.339028,18.560346,20.4448,0.006737
130.350377,18.570987,18.4688,0.001548
130.153942,18.501862,17.8589,0.001349
130.134678,18.541472,20.6843,0.009894
130.169466,18.575778,14.5951,0.001310
130.301913,18.629387,21.0592,0.023351
129.912432,18.424983,21.0152,0.018334
129.886084,18.460284,15.2395,0.000471
129.984273,18.589992,20.7128,0.010622
129.827369,18.522755,20.7564,0.011424
129.859657,18.560194,14.6841,0.000323
129.794966,18.541166,19.0793,0.002595
129.765622,18.546959,18.4045,0.001891
129.958204,18.579816,20.8315,0.012782
129.973686,18.615182,17.0263,0.000892
129.868078,18.581096,20.0674,0.005241
129.893716,18.665967,20.3784,0.007180
129.891731,18.666323,20.7680,0.010887
130.057941,18.549776,18.9463,0.002760
130.134766,18.596650,18.4900,0.002034
130.057388,18.627824,19.5453,0.003584
130.157161,18.648879,19.7332,0.004209
130.146883,18.730208,12.6127,0.000218
130.003630,18.645666,12.2165,0.000370
129.959797,18.630637,19.9621,0.004697
129.966113,18.682529,19.1656,0.002511
129.968171,18.738846,19.0013,0.002627
130.007654,18.737629,16.6484,0.000602
130.126034,18.783088,20.2690,0.011479
130.071563,18.759292,19.4220,0.003445
130.105418,18.787293,20.0823,0.004875
130.056653,18.788874,19.6886,0.003720
130.069038,18.806300,20.1521,0.005085
129.162531,18.357147,21.0064,0.021377
129.170910,18.366974,21.1927,0.037700
129.148039,18.373849,20.9792,0.023837
129.105914,18.417570,16.8049,0.000640
129.088822,18.459860,20.6521,0.008931
129.069153,18.454612,17.7901,0.001177
129.074638,18.455919,18.1093,0.001396
128.999481,18.466791,20.4519,0.007711
128.991043,18.499263,18.8705,0.002398
128.962793,18.501114,20.3619,0.008209
128.889123,18.553270,21.4127,0.037271
128.784731,18.640028,20.5266,0.009146
128.818097,18.663841,20.3171,0.007125
128.763265,18.755593,19.5250,0.003887
128.692008,18.750171,16.2378,0.000692
128.706838,18.784420,15.4095,0.001058
129.355763,18.258002,20.9846,0.031299
129.438863,18.278398,18.5051,0.006893
129.439239,18.276408,15.6224,0.000387
129.457908,18.290184,14.4557,0.001079
129.322003,18.274426,17.2111,0.000996
129.312414,18.302987,15.0976,0.000338
129.376221,18.305963,20.9135,0.023288
129.367899,18.360405,17.5214,0.001042
129.508682,18.367555,20.7894,0.038464
129.432738,18.368309,20.3731,0.005977
129.394351,18.372358,19.4506,0.003462
129.450738,18.381274,20.9719,0.019397
129.349781,18.370800,20.3795,0.007364
129.218815,18.375255,19.5249,0.003307
129.238140,18.381109,17.0786,0.000857
129.334399,18.469423,19.8860,0.004643
129.595346,18.432776,20.8690,0.013660
129.506822,18.411333,20.4310,0.007385
129.630061,18.454698,20.1303,0.005353
129.658112,18.485652,20.3972,0.006421
129.644641,18.521916,20.3291,0.006993
129.626255,18.557153,19.0881,0.002935
129.461826,18.465943,20.5162,0.011926
129.492056,18.539941,11.4785,0.000425
129.552391,18.580866,18.0404,0.001441
129.594615,18.571092,19.1496,0.002505
129.561463,18.670465,18.2593,0.001518
129.185865,18.382071,19.1449,0.002713
129.255531,18.469794,20.1808,0.005789
129.168905,18.447665,20.6715,0.010818
129.223766,18.495800,13.4736,0.000313
129.179195,18.495493,21.2255,0.033610
129.301375,18.495828,18.2413,0.010404
129.246388,18.538291,20.8700,0.020908
129.253932,18.563921,17.5396,0.001039
129.133449,18.494223,17.7940,0.001508
129.124459,18.505951,19.3921,0.003510
129.132148,18.513756,20.8037,0.017584
129.100710,18.515663,20.8873,0.015205
129.109033,18.525150,19.3815,0.003405
129.104168,18.558285,16.7688,0.006242
129.199102,18.545647,18.4391,0.001610
129.178375,18.580009,19.1024,0.002808
129.275766,18.592873,19.4433,0.004040
129.225004,18.594368,18.4477,0.001754
129.117504,18.602950,19.2642,0.003225
129.193561,18.623215,19.2966,0.002952
129.172455,18.627911,13.4431,0.000244
129.381308,18.540356,16.9325,0.000818
129.373860,18.552640,13.7863,0.000211
129.348362,18.575013,17.1754,0.000811
129.404311,18.615714,21.2430,0.029393
129.331499,18.586599,19.4949,0.003854
129.347974,18.616031,19.9791,0.004743
129.490892,18.699770,20.9787,0.013570
129.420632,18.672117,20.1142,0.006149
129.381935,18.677613,15.4143,0.000331
129.470703,18.711293,19.8835,0.004631
129.325526,18.646743,20.1010,0.005775
129.306867,18.728299,20.1272,0.005506
129.247544,18.720709,17.4886,0.001129
129.372380,18.693130,16.8095,0.000951
129.433420,18.746328,19.4852,0.003400
129.332987,18.723449,16.2049,0.000589
129.359774,18.751915,21.2534,0.048516
129.320409,18.785311,19.0327,0.002600
129.391295,18.778094,20.4895,0.008268
129.407539,18.799288,21.0127,0.019171
129.739987,18.546338,17.6069,0.001132
129.715746,18.560552,21.1512,0.024517
129.713345,18.556067,14.5971,0.000238
129.838422,18.657963,20.3336,0.006034
129.819958,18.672258,19.6313,0.003979
129.892581,18.674429,15.0481,0.000279
129.861583,18.701777,21.0311,0.023655
129.773776,18.671433,17.2253,0.000923
129.629945,18.637506,15.2159,0.000317
129.620119,18.644021,21.0255,0.017268
129.671199,18.689846,14.8133,0.000228
129.583819,18.688355,19.7549,0.003787
129.667294,18.712958,14.5940,0.000275
129.705539,18.736204,18.0859,0.001382
129.776039,18.732573,20.2794,0.006116
129.700043,18.778311,21.2383,0.022877
129.948569,18.752563,18.4676,0.001786
129.839117,18.738469,20.5010,0.007817
129.797484,18.806999,18.4541,0.001838
129.795100,18.847596,19.0768,0.002926
129.936035,18.876882,19.2351,0.002751
129.956981,18.914470,19.4394,0.003331
129.967735,18.921761,12.6794,0.000249
129.851144,18.940315,19.6165,0.003793
129.541755,18.701077,16.8531,0.000830
129.546285,18.741417,16.7210,0.000735
129.620349,18.746318,16.4124,0.005583
129.607188,18.768406,18.7203,0.002061
129.567546,18.761380,21.0796,0.027891
129.515497,18.751878,15.3423,0.002754
129.473799,18.756180,19.1919,0.002832
129.575430,18.786604,19.9610,0.004592
129.648168,18.790546,18.4913,0.001731
129.651595,18.826037,20.3948,0.007076
129.688860,18.815646,20.8844,0.014295
129.669836,18.847210,19.1120,0.002855
129.595670,18.854976,19.8304,0.005635
129.472110,18.782348,20.2160,0.006628
129.415271,18.817585,15.0684,0.000302
129.424907,18.876881,17.6986,0.001204
129.585192,18.880096,20.9287,0.015579
129.533451,18.867707,18.9815,0.002978
129.551177,18.906093,19.8233,0.004554
129.560238,18.950531,17.8454,0.001161
129.526199,18.941004,19.0925,0.002747
129.721741,18.866447,20.7731,0.010642
129.753227,18.937482,21.0579,0.024710
129.732707,18.959722,21.3652,0.035016
129.682507,18.959110,19.4417,0.003751
129.568825,18.991252,16.1477,0.000664
129.658987,19.048135,18.2392,0.001682
129.712643,19.012452,19.7864,0.004641
129.752934,19.038576,20.8686,0.015260
129.704939,19.034658,20.1281,0.005908
129.790037,19.058785,20.3141,0.007552
129.672718,19.064093,20.6248,0.009067
129.688394,19.063357,20.1892,0.006053
129.729384,19.081362,20.3506,0.006858
130.146975,18.119380,19.3344,0.003162
130.100738,18.151313,19.1120,0.002811
130.060619,18.136387,17.6417,0.001004
130.074670,18.185683,20.0474,0.006065
130.071794,18.203157,19.2230,0.003118
130.453246,18.224522,19.6308,0.003346
130.583661,18.246807,19.4764,0.002810
130.585840,18.232718,14.8155,0.000244
130.596406,18.269861,20.9883,0.019959
130.656407,18.265337,20.7701,0.007893
130.642123,18.272797,21.0829,0.024994
130.646403,18.296220,20.5537,0.006159
130.264676,18.133796,20.9893,0.022471
130.257429,18.146221,20.9649,0.024753
130.350274,18.151303,19.5499,0.003325
130.384940,18.230000,16.2752,0.000459
130.208211,18.206639,19.3018,0.003483
130.219588,18.204182,18.1213,0.001463
130.103861,18.232555,20.6900,0.010787
